Property_ID,Project_Name,Developer_Name,Location,Property_Type,Bedrooms,Property_Price_AED,Payment_Plan
PROP-00260,1/JVC,Dubai Properties,Jumeirah Village Circle (JVC),Apartment,2,1919000,Post Handover 60/40
PROP-00559,Nad Al Sheba Gardens,Nakheel,Al Furjan,Studio,0,458000,50/50
PROP-00147,Wilton Terraces,Ellington Properties,Jumeirah Village Circle (JVC),Townhouse,2,2848000,60/40
PROP-00042,Danube Elitz,Danube Properties,Downtown Dubai,Townhouse,4,2839000,60/40
PROP-00021,Deira Islands,Nakheel,Jumeirah Village Circle (JVC),Villa,3,4734000,50/50
PROP-00215,Binghatti Canal,Binghatti Developers,Dubai Marina,Apartment,2,2096000,1% Monthly
PROP-00387,Binghatti Aquarise,Binghatti Developers,Mohammed Bin Rashid City (MBR City),Townhouse,2,2601000,50/50
PROP-00091,Fay Alreeman,Aldar Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,2127000,50/50
PROP-00015,Deira Islands,Nakheel,Jumeirah Village Circle (JVC),Apartment,2,2108000,50/50
PROP-00469,City Walk,Meraas,Jumeirah Lake Towers (JLT),Apartment,2,1526000,60/40
PROP-00263,Palm Jebel Ali,Nakheel,Al Furjan,Apartment,2,2018000,50/50
PROP-00344,Cavalli Couture,DAMAC Properties,Jumeirah Lake Towers (JLT),Apartment,2,2091000,Post Handover 60/40
PROP-00222,Azizi Riviera,Azizi Developments,Business Bay,Villa,4,5371000,1% Monthly
PROP-00600,Jumeirah Islands,Nakheel,Downtown Dubai,Studio,0,452000,50/50
PROP-00410,Wilton Terraces,Ellington Properties,Dubai Marina,Studio,0,856000,1% Monthly
PROP-00018,Sobha One,Sobha Realty,Downtown Dubai,Villa,3,4574000,70/30
PROP-00457,Danube Oceanz,Danube Properties,Damac Hills 2,Studio,0,725000,1% Monthly
PROP-00382,Sobha Seahaven,Sobha Realty,Dubai South,Townhouse,4,3098000,1% Monthly
PROP-00493,Binghatti Canal,Binghatti Developers,Dubai Marina,Studio,0,807000,70/30
PROP-00437,Wilton Terraces,Ellington Properties,Al Furjan,Apartment,2,1417000,60/40
PROP-00340,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Villa,6,6985000,50/50
PROP-00213,Serena,Dubai Properties,Arabian Ranches,Studio,0,496000,60/40
PROP-00555,Mudon,Dubai Properties,Al Furjan,Villa,5,5525000,70/30
PROP-00314,Binghatti Aquarise,Binghatti Developers,Dubai South,Apartment,1,1632000,70/30
PROP-00378,Binghatti Aquarise,Binghatti Developers,Dubai Marina,Apartment,4,2261000,Post Handover 60/40
PROP-00597,Town Square,Nshama,Dubai Marina,Apartment,1,1145000,Post Handover 60/40
PROP-00386,Fay Alreeman,Aldar Properties,Dubai Marina,Apartment,1,1813000,1% Monthly
PROP-00298,Binghatti Jacob & Co,Binghatti Developers,Palm Jumeirah,Townhouse,2,2694000,70/30
PROP-00167,Deira Islands,Nakheel,Arabian Ranches,Townhouse,4,3303000,DLD Waiver Offer
PROP-00384,Haven,Aldar Properties,Arabian Ranches,Apartment,3,2504000,60/40
PROP-00226,Town Square,Nshama,Jumeirah Village Circle (JVC),Townhouse,3,2651000,70/30
PROP-00483,Azizi Aliyah,Azizi Developments,Business Bay,Villa,5,5372000,70/30
PROP-00006,Binghatti Canal,Binghatti Developers,Dubai Marina,Villa,4,5083000,70/30
PROP-00566,Danube Diamondz,Danube Properties,Arabian Ranches,Apartment,2,2096000,50/50
PROP-00536,Danube Elitz,Danube Properties,Damac Hills 2,Apartment,2,1814000,DLD Waiver Offer
PROP-00038,Deira Islands,Nakheel,Dubai Marina,Villa,4,5962000,50/50
PROP-00175,Palm Jebel Ali,Nakheel,Dubai Marina,Townhouse,2,2140000,Post Handover 60/40
PROP-00503,Azizi Venice,Azizi Developments,Business Bay,Townhouse,4,3215000,60/40
PROP-00093,Wilton Terraces,Ellington Properties,Al Furjan,Apartment,1,1245000,60/40
PROP-00040,Palm Jebel Ali,Nakheel,Al Furjan,Apartment,3,1871000,1% Monthly
PROP-00164,La Mer Residences,Meraas,Dubai Marina,Apartment,1,1684000,DLD Waiver Offer
PROP-00106,Jumeirah Islands,Nakheel,Dubai Hills Estate,Apartment,1,1170000,70/30
PROP-00391,Azizi Riviera,Azizi Developments,Dubai Marina,Apartment,1,1687000,80/20
PROP-00431,Villanova,Dubai Properties,Downtown Dubai,Townhouse,3,2616000,50/50
PROP-00252,The Sanctuary,Ellington Properties,Jumeirah Lake Towers (JLT),Apartment,1,1403000,DLD Waiver Offer
PROP-00310,Danube Diamondz,Danube Properties,Palm Jumeirah,Studio,0,646000,80/20
PROP-00117,Villanova,Dubai Properties,Dubai South,Studio,0,831000,60/40
PROP-00237,Safa Two,DAMAC Properties,Jumeirah Village Circle (JVC),Apartment,1,1540000,70/30
PROP-00577,The Sanctuary,Ellington Properties,Palm Jumeirah,Apartment,4,2044000,80/20
